Scenario,Sex,Ethnicity,Political Affiliation,Economic Status of Household,Educational Attainment,Human rating,gpt-4.1_Scale Score,gpt-4.1_Explanation ,claude-sonnet-4-20250514_Scale Score,claude-sonnet-4-20250514_Explanation,gemini-2.5-flash_Scale Score,gemini-2.5-flash_Explanation
Explicit Name,Female,White,Independant,"$100,000 and above",Graduate or professional degree,5,9,"Because I find George credible and he directly confessed that both he and William committed the robbery, this strongly increases my likelihood of finding William guilty.",8,"George's direct admission that he and William committed the robbery together is highly compelling evidence that significantly increases the likelihood of William's guilt, though I would still want to consider any potential motivations George might have had to implicate William.",10,George's direct and credible statement explicitly implicating William as a co-participant overwhelmingly increased the likelihood of William's guilt.
Explicit Name,Female,Hispanic or Latino,Independant,"$50,000 - $74,999",Bachelor’s degree,10,9,"Because I found George's statement credible and he directly implicated both himself and William in the robbery, this makes me much more likely to find William guilty.",7,"George's direct confession implicating William is highly incriminating evidence, but as an independent thinker with a college education, I'd want to see corroborating evidence since co-defendants sometimes shift blame to reduce their own culpability.",9,"Given that I found George's direct statement implicating William credible, it significantly increased my likelihood of finding William guilty."
Explicit Name,Female,White,Democrat,"Below $25,000",Associate degree,8,9,"Because I find George credible and he directly implicated both himself and William in the robbery, this makes me much more likely to believe William is guilty.",8,"George's direct admission that he and William committed the robbery together is highly incriminating evidence that significantly increases the likelihood of William's guilt, though I would still want to consider any defense arguments about the reliability of George's statement.",8,"Because I found George's statement credible, his direct implication of William significantly increased my likelihood of believing William's guilt."
Explicit Name,Female,White,Democrat,"$50,000 - $74,999",Graduate or professional degree,6,9,"Because I believe George's credible confession directly implicates William as his accomplice, it makes me much more likely to find William guilty.",7,"While George's confession directly implicates William, I'm concerned about the reliability of statements made during police interrogation and would need to see corroborating evidence before being fully convinced beyond a reasonable doubt.",10,"George's direct statement, which I found credible, explicitly implicates William in the robbery."
Explicit Name,Male,White,Independant,"$50,000 - $74,999",Bachelor’s degree,4,9,"Because I believe George's statement and it directly implicates William as a co-robber, it makes me much more likely to find William guilty.",7,"George's credible confession directly implicates William as a co-conspirator, which significantly increases the likelihood of William's guilt, though I'd still want to see corroborating evidence before reaching a final verdict.",9,"Because George's statement directly implicated William and was explicitly found credible, it significantly increased the likelihood of William's guilt, despite any potential limiting instructions regarding its use against him."
Explicit Name,Male,White,Democrat,"$50,000 - $74,999",Bachelor’s degree,8,9,"Because I find George credible and he directly implicated William as a co-participant, his statement makes me much more likely to find William guilty.",7,"George's credible confession directly implicates William as his co-conspirator in the robbery, which significantly increases the likelihood of William's guilt, though I would still want to see corroborating evidence before reaching a final verdict.",8,"Because I found George's direct statement implicating William to be credible, it significantly increased my belief in William's guilt."
Explicit Name,Male,White,Independant,"$75,000 - $99,999",Graduate or professional degree,6,9,George's credible confession directly implicating William as a co-participant in the robbery makes it highly likely I would find William guilty.,8,"George's direct confession implicating William as his co-conspirator is highly credible and compelling evidence that significantly increases the likelihood of William's guilt, though I would still want to consider any contradictory evidence or alternative explanations before reaching a final verdict.",9,George's direct and credible statement that he and William committed the robbery significantly increases the likelihood of William's guilt.
Explicit Name,Female,Black or African American,Independant,"$50,000 - $74,999",High school diploma or equivalent,9,9,"Because I believe George's statement and he directly admitted that both he and William committed the robbery, this makes me much more likely to find William guilty.",7,"George directly confessing that he and William committed the robbery together is pretty strong evidence against William, especially since I find George credible, though I'd still want to hear what other evidence there is before making my final decision.",10,"Because I find George's statement credible, his direct admission that William committed the robbery with him makes me almost certain of William's guilt."
Explicit Name,Female,White,Democrat,"$100,000 and above",Graduate or professional degree,0,9,"Because I find George credible and he directly implicated both himself and William in the robbery, his statement makes me much more likely to find William guilty.",8,"George's direct confession implicating William as his co-conspirator is highly credible evidence that significantly increases the likelihood of William's guilt, though I remain mindful that corroborating evidence would strengthen the case further.",8,Believing George's direct admission that William committed the robbery with him significantly increases the likelihood of finding William guilty.
Explicit Name,Female,White,Independant,"$50,000 - $74,999",Bachelor’s degree,6,9,"Because I find George credible and he directly implicates both himself and William in the robbery, his statement makes me much more likely to believe William is guilty.",7,"George's credible confession directly implicates William as his co-conspirator, which is strong evidence of William's guilt, though I would still want to see corroborating evidence before being completely certain.",9,George's direct and credible statement implicating William makes it substantially more likely that William participated in the robbery.
Explicit Name,Male,White,Independant,"$50,000 - $74,999","Some college, no degree",7,9,"Because I believe George is telling the truth, his direct statement implicating both himself and William makes it far more likely I will find William guilty.",7,"George directly implicating William in the crime carries significant weight since I find him credible, though I'd still want to see if there's other evidence that corroborates this confession before being completely certain.",9,George's credible statement directly implicating William as his accomplice significantly increases the likelihood of finding William guilty.
Explicit Name,Female,White,Independant,"$50,000 - $74,999",Graduate or professional degree,5,9,"Because I believe George's statement and he directly implicates both himself and William in the robbery, this makes it much more likely to me that William is guilty.",8,"George's direct confession implicating William as his co-conspirator is highly credible evidence that significantly increases the likelihood of William's guilt, though I would still want to consider any contradictory evidence or alternative explanations before reaching a final verdict.",9,George's credible statement directly implicating William as a co-participant strongly increased my belief in William's guilt.
Explicit Name,Female,White,Independant,"$75,000 - $99,999",Bachelor’s degree,8,9,"Because I believe George's statement and he directly implicated both himself and William in the robbery, this strongly increases my likelihood of finding William guilty.",7,"George's direct confession implicating William as his co-conspirator is highly incriminating evidence that significantly increases the likelihood of William's guilt, though I would still want to see corroborating evidence before reaching a final verdict.",9,George's credible statement directly implicating William as a co-participant in the robbery significantly increases the likelihood of finding William guilty.
Explicit Name,Female,White,Independant,"$100,000 and above",Bachelor’s degree,9,9,"Because I believe George's confession implicating both himself and William is credible and directly ties William to the robbery, it makes me much more likely to find William guilty.",7,"George's credible confession directly implicates William as his co-conspirator, which is compelling evidence, though I would still want to see corroborating physical evidence or other witness testimony before being completely certain of William's guilt.",9,George's credible statement directly implicating William in the robbery significantly increases the likelihood of finding William guilty.
Explicit Name,Male,White,Republican,"$25,000 - $49,999","Some college, no degree",10,9,"Because I find George credible and he directly admitted that both he and William committed the robbery, this strongly increases my likelihood of finding William guilty.",8,"George directly confessed that he and William committed the robbery together, and since I find his statement credible, this is very strong evidence of William's guilt.",8,"George's credible statement directly implicates William in the robbery, significantly increasing the likelihood of William's guilt."
Explicit Name,Female,White,Independant,"$75,000 - $99,999","Some college, no degree",0,9,"Because I believe George's statement admitting that both he and William committed the robbery, it strongly convinces me that William participated as well.",7,"George directly implicating William in the crime carries significant weight since I find him credible, though I'd still want to see if there's other evidence that corroborates this confession.",8,"Despite judicial instructions to disregard it against William, a credible confession from a co-defendant directly implicating him profoundly influences the juror's perception of William's guilt."
Explicit Name,Female,White,Republican,"$50,000 - $74,999","Some college, no degree",10,9,"Because I believe George is telling the truth and he directly admitted that both he and William committed the robbery, this makes me much more likely to find William guilty.",8,"George directly confessed that he and William committed the robbery together, and since I find him credible, this is very strong evidence of William's guilt.",10,"Because I believe George's direct statement implicating William, it makes it extremely likely that I will find William guilty."
